iter	Logloss
0	0.6779180427
1	0.6646130004
2	0.6521947609
3	0.641266867
4	0.629817778
5	0.6187151952
6	0.6079286079
7	0.5983281534
8	0.5897517727
9	0.5805084446
10	0.5720808188
11	0.5649485226
12	0.5581542857
13	0.5509596098
14	0.5433520879
15	0.5374398322
16	0.5308379711
17	0.5250902673
18	0.5197629737
19	0.515156293
20	0.5115334392
21	0.5064376783
22	0.5025439051
23	0.4986750819
24	0.4945180017
25	0.4918569475
26	0.4885116364
27	0.4845586164
28	0.4810945065
29	0.4777363958
30	0.4743277413
31	0.4711539315
32	0.4683307642
33	0.465849448
34	0.4631201892
35	0.4603868707
36	0.4580262407
37	0.4557891052
38	0.4538868439
39	0.4514331388
40	0.449379278
41	0.4471936811
42	0.4453459176
43	0.4435115567
44	0.4417613964
45	0.4401618777
46	0.4386169057
47	0.4369944459
48	0.4356286638
49	0.434410231
50	0.433320274
51	0.4320756057
52	0.4305944567
53	0.4293887521
54	0.4280976741
55	0.4268913722
56	0.4258434759
57	0.4247892958
58	0.4236978242
59	0.4224419829
60	0.4213749776
61	0.4203782709
62	0.419466689
63	0.4185324512
64	0.4177004835
65	0.4168631779
66	0.4159733674
67	0.4152403533
68	0.4145070797
69	0.4139084041
70	0.4132977633
71	0.4125972468
72	0.4118185456
73	0.4112196401
74	0.4106461938
75	0.4100340753
76	0.4094648153
77	0.4088243328
78	0.4082356126
79	0.4074469083
80	0.4068572152
81	0.4063559186
82	0.4057198848
83	0.405272912
84	0.4044828032
85	0.403920965
86	0.403435938
87	0.4030230556
88	0.4023410045
89	0.4017614604
90	0.4012476531
91	0.400800663
92	0.4004639652
93	0.3999288738
94	0.3994832114
95	0.399075075
96	0.3987802144
97	0.3984463477
98	0.3980965624
99	0.3976579707
100	0.3972509232
101	0.3968750831
102	0.3965375268
103	0.3962709132
104	0.396014589
105	0.3956352112
106	0.3951736269
107	0.3947432815
108	0.3944719588
109	0.3941527187
110	0.3938167332
111	0.3934738064
112	0.3931206668
113	0.3926706059
114	0.392333003
115	0.3919758299
116	0.3915649783
117	0.3912540573
118	0.3908241457
119	0.3904872041
120	0.3902166756
121	0.3899233266
122	0.3896755169
123	0.3893217072
124	0.3889876333
125	0.3887030885
126	0.3883514639
127	0.3881155743
128	0.3877173881
129	0.3874489572
130	0.3871980045
131	0.3868348671
132	0.3865521743
133	0.3862501173
134	0.3859902487
135	0.385760158
136	0.3855616916
137	0.3853198144
138	0.3850174545
139	0.38482381
140	0.3845608684
141	0.3842345475
142	0.3839301463
143	0.3837018029
144	0.3835233726
145	0.3833616681
146	0.3830816833
147	0.3828088139
148	0.3825452856
149	0.3823745203
150	0.3820700796
151	0.3819226202
152	0.381622198
153	0.3814345653
154	0.3811919829
155	0.3810791934
156	0.38091937
157	0.380713201
158	0.380517365
159	0.3802365176
160	0.3800183516
161	0.379753501
162	0.3795767281
163	0.3794321224
164	0.3793087487
165	0.3790880717
166	0.3788127626
167	0.3786033217
168	0.378470204
169	0.3783721962
170	0.3781224769
171	0.3779227561
172	0.3776634497
173	0.3774362756
174	0.3772784115
175	0.3770983861
176	0.3769007758
177	0.3767522506
178	0.3766041771
179	0.3763125134
180	0.3760352848
181	0.3759363003
182	0.375788625
183	0.3755676278
184	0.3753761175
185	0.3752467429
186	0.3751001791
187	0.374980451
188	0.3748125798
189	0.3747292869
190	0.3745146818
191	0.3743560491
192	0.374096087
193	0.3738971503
194	0.3737247453
195	0.3736053598
196	0.3734704765
197	0.3732836988
198	0.3731424479
199	0.3729365215
200	0.3728192265
201	0.372679067
202	0.3724880757
203	0.3723075671
204	0.3720828969
205	0.372022013
206	0.371856646
207	0.3716019999
208	0.3714324202
209	0.3712989892
210	0.3711833833
211	0.3711128411
212	0.3709927165
213	0.3707231107
214	0.3706050906
215	0.3704144071
216	0.3702616894
217	0.3700393476
218	0.3698459044
219	0.3697223316
220	0.3695750772
221	0.3694235979
222	0.3692427825
223	0.3690808534
224	0.3688437305
225	0.3687397929
226	0.3685041341
227	0.3683576421
228	0.3682428387
229	0.3680452939
230	0.3677979978
231	0.3675439522
232	0.3674101722
233	0.3672240515
234	0.3670431322
235	0.3668370048
236	0.3666769506
237	0.3665765099
238	0.3664840748
239	0.3664011905
240	0.3661985726
241	0.3660599977
242	0.3658976688
243	0.365757607
244	0.3655828514
245	0.3653516117
246	0.3651957252
247	0.3650727155
248	0.3650091907
249	0.3648282253
250	0.3647228792
251	0.3645876754
252	0.3643676105
253	0.364185655
254	0.3640333698
255	0.3639291688
256	0.3638489455
257	0.3636553862
258	0.3633657475
259	0.3631281631
260	0.3628923083
261	0.3627167935
262	0.3625665337
263	0.3623917707
264	0.3621743327
265	0.3619496527
266	0.361784408
267	0.3616382736
268	0.3615208207
269	0.3613552401
270	0.3611727554
271	0.3610725991
272	0.3609768826
273	0.3607865191
274	0.3607024277
275	0.3604374474
276	0.3603292294
277	0.3601305987
278	0.3600432925
279	0.3599642137
280	0.3596860095
281	0.3595709816
282	0.3595073269
283	0.3593573716
284	0.3592875795
285	0.3591522116
286	0.3590865089
287	0.3587806821
288	0.358625798
289	0.3584675057
290	0.3583877571
291	0.3582611301
292	0.3580052498
293	0.3578793077
294	0.3576314754
295	0.3575277634
296	0.3573927882
297	0.3571695932
298	0.3569952951
299	0.3568588694
300	0.3566573961
301	0.3564741217
302	0.3562535459
303	0.3560623612
304	0.3558839807
305	0.3557467299
306	0.3555818485
307	0.3554805873
308	0.3554054385
309	0.3551802504
310	0.3550617071
311	0.3549143955
312	0.3547309295
313	0.3545341041
314	0.354410192
315	0.3542451651
316	0.3541130248
317	0.3539057315
318	0.3537566966
319	0.3536670916
320	0.3535862441
321	0.3533697624
322	0.3532470166
323	0.3530448376
324	0.3528996789
325	0.3527508072
326	0.3525100516
327	0.3522646456
328	0.3521602614
329	0.3520023285
330	0.3518940065
331	0.3517320717
332	0.351540267
333	0.3514349831
334	0.3512750234
335	0.3511827561
336	0.3509044178
337	0.3506946926
