iter	Passed	Remaining
0	22	22463
1	27	13822
2	31	10362
3	34	8634
4	37	7546
5	43	7284
6	47	6748
7	50	6304
8	54	5964
9	59	5884
10	62	5638
11	66	5462
12	68	5209
13	72	5073
14	76	4999
15	79	4889
16	82	4798
17	86	4728
18	92	4775
19	97	4787
20	103	4804
21	108	4821
22	113	4814
23	118	4807
24	123	4833
25	127	4789
26	132	4760
27	137	4759
28	141	4735
29	145	4693
30	149	4667
31	154	4677
32	158	4640
33	162	4606
34	166	4579
35	171	4584
36	175	4556
37	179	4534
38	183	4512
39	188	4523
40	192	4506
41	196	4483
42	200	4471
43	205	4455
44	208	4434
45	212	4414
46	216	4398
47	220	4379
48	224	4360
49	228	4344
50	231	4312
51	236	4314
52	240	4298
53	244	4282
54	248	4271
55	253	4276
56	257	4257
57	260	4233
58	264	4215
59	269	4215
60	272	4199
61	276	4178
62	279	4161
63	286	4185
64	289	4170
65	293	4149
66	300	4179
67	317	4356
68	321	4336
69	324	4315
70	328	4296
71	334	4313
72	338	4297
73	341	4277
74	345	4263
75	350	4257
76	353	4238
77	357	4224
78	361	4209
79	371	4276
80	375	4257
81	380	4257
82	383	4240
83	388	4231
84	392	4223
85	399	4243
86	403	4231
87	406	4211
88	410	4206
89	415	4196
90	418	4184
91	422	4169
92	428	4174
93	431	4160
94	434	4143
95	438	4127
96	442	4115
97	446	4105
98	449	4089
99	453	4082
100	457	4068
101	476	4198
102	481	4189
103	484	4172
104	487	4156
105	492	4156
106	496	4140
107	499	4124
108	502	4108
109	506	4098
110	510	4087
111	513	4072
112	516	4057
113	520	4045
114	525	4045
115	528	4030
116	532	4016
117	535	4002
118	540	4001
119	543	3989
120	547	3975
121	550	3963
122	554	3951
123	558	3948
124	562	3936
125	565	3924
126	569	3912
127	573	3909
128	577	3897
129	580	3885
130	583	3872
131	588	3868
132	591	3857
133	595	3847
134	598	3835
135	601	3823
136	605	3816
137	609	3805
138	612	3793
139	615	3782
140	619	3776
141	623	3766
142	626	3756
143	630	3745
144	633	3734
145	648	3794
146	652	3788
147	656	3779
148	660	3773
149	664	3764
150	668	3756
151	671	3747
152	674	3736
153	678	3725
154	681	3715
155	685	3711
156	689	3702
157	692	3692
158	696	3681
159	699	3671
160	703	3666
161	706	3655
162	709	3645
163	713	3635
164	717	3630
165	720	3620
166	724	3611
167	727	3602
168	730	3592
169	735	3588
170	738	3579
171	741	3569
172	744	3560
173	748	3553
174	752	3549
175	756	3542
176	769	3575
177	784	3622
178	803	3684
179	818	3729
180	823	3727
181	831	3738
182	856	3824
183	864	3832
184	868	3824
185	871	3815
186	875	3806
187	880	3804
188	884	3796
189	887	3782
190	891	3775
191	897	3777
192	902	3773
193	909	3778
194	915	3777
195	920	3775
196	927	3781
197	934	3785
198	944	3803
199	1023	4093
200	1031	4099
201	1049	4147
202	1057	4152
203	1061	4143
204	1066	4134
205	1069	4121
206	1077	4127
207	1083	4125
208	1087	4114
209	1091	4106
210	1095	4094
211	1098	4082
212	1101	4070
213	1107	4067
214	1110	4055
215	1113	4043
216	1117	4031
217	1122	4026
218	1125	4014
219	1129	4003
220	1132	3991
221	1136	3982
222	1139	3971
223	1143	3960
224	1146	3949
225	1149	3937
226	1154	3931
227	1157	3920
228	1161	3909
229	1164	3898
230	1168	3888
231	1171	3879
232	1175	3868
233	1178	3857
234	1181	3847
235	1185	3839
236	1189	3829
237	1192	3818
238	1195	3807
239	1199	3797
240	1203	3790
241	1206	3779
242	1210	3769
243	1213	3760
244	1218	3756
245	1222	3746
246	1225	3736
247	1228	3726
248	1232	3718
249	1237	3711
250	1241	3703
251	1244	3695
252	1249	3690
253	1253	3681
254	1257	3673
255	1261	3665
256	1266	3660
257	1269	3652
258	1273	3643
259	1277	3636
260	1283	3633
261	1287	3626
262	1291	3619
263	1295	3611
264	1300	3606
265	1303	3598
266	1308	3591
267	1311	3583
268	1316	3578
269	1320	3570
270	1324	3562
271	1328	3554
272	1333	3550
273	1337	3542
274	1340	3535
275	1344	3527
276	1354	3535
277	1358	3527
278	1363	3523
279	1367	3515
280	1370	3507
281	1374	3499
282	1379	3494
283	1383	3487
284	1387	3480
285	1390	3471
286	1394	3465
287	1398	3457
288	1401	3448
289	1404	3439
290	1408	3430
291	1412	3424
292	1415	3416
293	1418	3407
294	1422	3400
295	1427	3394
296	1431	3387
297	1434	3379
298	1437	3370
299	1441	3362
300	1445	3356
301	1448	3347
302	1451	3339
303	1454	3330
304	1458	3324
305	1462	3316
306	1465	3308
307	1468	3300
308	1472	3291
309	1476	3286
310	1483	3286
311	1488	3281
312	1493	3278
313	1497	3271
314	1500	3263
315	1504	3256
316	1508	3250
317	1512	3242
318	1515	3234
319	1518	3226
320	1522	3220
321	1525	3213
322	1529	3205
323	1532	3197
324	1535	3189
325	1539	3183
326	1543	3176
327	1546	3168
328	1549	3161
329	1553	3153
330	1557	3147
331	1560	3140
332	1564	3133
333	1567	3125
334	1571	3119
335	1574	3112
336	1578	3104
337	1581	3097
338	1584	3089
339	1588	3083
340	1591	3076
341	1595	3069
342	1598	3062
343	1602	3055
344	1606	3049
345	1610	3044
346	1614	3037
347	1617	3030
348	1621	3024
349	1625	3017
350	1628	3011
351	1632	3005
352	1637	3001
353	1641	2994
354	1644	2987
355	1647	2980
356	1651	2974
357	1654	2967
358	1658	2960
359	1661	2953
360	1664	2946
361	1668	2941
362	1672	2935
363	1675	2928
364	1679	2921
365	1682	2914
366	1686	2908
367	1689	2901
368	1692	2895
369	1696	2888
370	1699	2882
371	1703	2875
372	1706	2869
373	1710	2862
374	1713	2855
375	1718	2852
376	1722	2846
377	1725	2839
378	1729	2833
379	1734	2829
380	1737	2822
381	1740	2816
382	1743	2809
383	1747	2803
384	1777	2839
385	1782	2835
386	1785	2828
387	1789	2821
388	1793	2816
389	1796	2810
390	1800	2804
391	1803	2797
392	1807	2791
393	1810	2785
394	1815	2780
395	1818	2774
396	1822	2767
397	1825	2761
398	1829	2755
399	1844	2766
400	1848	2761
401	1852	2755
402	1855	2749
403	1858	2742
404	1863	2737
405	1866	2731
406	1870	2724
407	1873	2718
408	1876	2711
409	1880	2706
410	1884	2700
411	1887	2693
412	1890	2687
413	1895	2682
414	1898	2676
415	1901	2669
416	1905	2663
417	1909	2658
418	1913	2653
419	1916	2646
420	1920	2640
421	1923	2634
422	1927	2629
423	1931	2623
424	1934	2617
425	1937	2611
426	1941	2605
427	1945	2599
428	1948	2593
429	1951	2586
430	1954	2580
431	1959	2575
432	1962	2569
433	1965	2563
434	1968	2557
435	1972	2551
436	1976	2546
437	1980	2540
438	1984	2535
439	1988	2530
440	1992	2526
441	1996	2520
442	2000	2515
443	2004	2509
444	2008	2504
445	2011	2498
446	2015	2493
447	2019	2488
448	2023	2483
449	2027	2477
450	2030	2471
451	2033	2465
452	2036	2459
453	2040	2454
454	2044	2448
455	2047	2442
456	2050	2436
457	2054	2431
458	2057	2425
459	2061	2419
460	2064	2413
461	2067	2408
462	2072	2403
463	2075	2397
464	2078	2391
465	2081	2385
466	2085	2379
467	2089	2375
468	2092	2369
469	2096	2363
470	2099	2357
471	2102	2352
472	2106	2346
473	2109	2341
474	2112	2335
475	2116	2329
476	2120	2324
477	2123	2318
478	2126	2313
479	2129	2307
